Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['25 Bel-Air Drive', ',', 'Port Lincoln, SA 5606']","['$570,000-$590,000']",['1390 m²'],['643 m²'],https://www.realcommercial.com.au/for-sale/property-25-bel-air-drive-port-lincoln-sa-5606-503990815,2022-01-29 02:09:34.670074
"['13-17  Sturton Road', ',', 'Edinburgh, SA 5111']",['Contact Agent'],['796 m²'],['650 m²'],https://www.realcommercial.com.au/for-sale/property-13-17-sturton-road-edinburgh-sa-5111-503682658,2022-01-29 02:09:34.670074
"['1 Mulconray Road', ',', 'Whyalla Barson, SA 5601']",['Please contact agent'],['1.54 ha (3.8 acres)'],['15390 m²'],https://www.realcommercial.com.au/for-sale/property-1-mulconray-road-whyalla-barson-sa-5601-503848390,2022-01-29 02:09:34.670074
"['77-79 Tapleys Hill Road', ',', 'Hendon, SA 5014']",['For Sale or For Lease'],['228 - 498 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-77-79-tapleys-hill-road-hendon-sa-5014-503945242,2022-01-29 02:09:34.670074
"['126 Norrie Avenue', ',', 'Whyalla Playford, SA 5600']",['Contact Agent'],['0.42 ha (1.04 acres)'],['960 m²'],https://www.realcommercial.com.au/for-sale/property-126-norrie-avenue-whyalla-playford-sa-5600-503366206,2022-01-29 02:09:34.670074
"['“THE GARDENS“ COMMERCE CENTRE, 504-528 PORT WAKEFIELD', ',', 'Parafield Gardens, SA 5107']","['From $650,000']",['1220 m²'],['600 m²'],https://www.realcommercial.com.au/for-sale/property-the-gardens-commerce-centre-504-528-port-wakefield-parafield-gardens-sa-5107-503756950,2022-01-29 02:09:34.670074
"['17 Mengel Court', ',', 'Salisbury South, SA 5106']",['Under Contract'],['1468 m²'],['388 m²'],https://www.realcommercial.com.au/for-sale/property-17-mengel-court-salisbury-south-sa-5106-503958510,2022-01-29 02:09:34.670074
"['1a Queen Street', ',', 'Thebarton, SA 5031']",['Contact Agent'],['250 m²'],['244 m²'],https://www.realcommercial.com.au/for-sale/property-1a-queen-street-thebarton-sa-5031-503989823,2022-01-29 02:09:34.670074
"['Lot 71 Pine Freezers Road', ',', 'Port Lincoln, SA 5606']","['$695,000 + GST']",['0.61 ha (1.5 acres)'],['552 m²'],https://www.realcommercial.com.au/for-sale/property-lot-71-pine-freezers-road-port-lincoln-sa-5606-5596720,2022-01-29 02:09:34.670074
"['4-6 Saint Andrews Terrace', ',', 'Willunga, SA 5172']",['Under Offer'],['2153 m²'],['674 m²'],https://www.realcommercial.com.au/for-sale/property-4-6-saint-andrews-terrace-willunga-sa-5172-503527058,2022-01-29 02:09:34.670074
